time,level,service,content
2025-07-10 14:08:23.445,INFO,c.e.service.AuthService,"loc=http-nio-8080-exec-31 - User authentication successful: userId=USER-8920, sessionId=SESS-5B8C1D"
2025-07-10 14:08:23.589,INFO,c.e.service.CartService,"loc=http-nio-8080-exec-31 - Cart validation completed: userId=USER-8920, totalItems=1, cartValue=89.99"
2025-07-10 14:08:23.745,INFO,c.e.service.InventoryService,"loc=http-nio-8080-exec-31 - Inventory check passed: productId=PROD-7723, availableQty=45, requestedQty=1"
2025-07-10 14:08:23.878,INFO,c.e.service.PricingService,"loc=http-nio-8080-exec-31 - Price calculation completed: basePrice=89.99, discount=0.00, finalPrice=89.99"
2025-07-10 14:08:24.001,INFO,c.e.service.PaymentService,"loc=http-nio-8080-exec-31 - Payment gateway connection established: gateway=PaySecure-V2, timeout=30000ms"
2025-07-10 14:08:24.234,INFO,c.e.service.PaymentService,"loc=http-nio-8080-exec-31 - Payment authorization requested: amount=89.99, currency=USD, cardType=MASTERCARD"
2025-07-10 14:08:24.567,INFO,c.e.service.PaymentService,"loc=http-nio-8080-exec-31 - Payment processed successfully: orderId=ORD-2025-001259, transactionId=TXN-990012"
2025-07-10 14:08:24.689,INFO,c.e.service.OrderService,"loc=http-nio-8080-exec-31 - Order created successfully: orderId=ORD-2025-001259, status=CONFIRMED"
2025-07-10 14:08:24.823,INFO,c.e.service.NotificationService,"loc=http-nio-8080-exec-31 - Order confirmation email sent successfully: orderId=ORD-2025-001259, recipient=user@example.com"
2025-07-10 14:08:24.945,INFO,c.e.service.AuditService,"loc=http-nio-8080-exec-31 - Transaction audit completed: orderId=ORD-2025-001259, status=SUCCESS"
2025-07-10 14:08:25.156,INFO,c.e.service.AuthService,"loc=http-nio-8080-exec-32 - User authentication successful: userId=USER-3412, sessionId=SESS-6C9D2E"
2025-07-10 14:08:25.289,INFO,c.e.service.CartService,"loc=http-nio-8080-exec-32 - Cart validation completed: userId=USER-3412, totalItems=4, cartValue=549.96"
2025-07-10 14:08:25.445,INFO,c.e.service.InventoryService,"loc=http-nio-8080-exec-32 - Inventory check passed: productId=PROD-2214, availableQty=8, requestedQty=4"
2025-07-10 14:08:25.578,INFO,c.e.service.PricingService,"loc=http-nio-8080-exec-32 - Price calculation completed: basePrice=549.96, discount=54.99, finalPrice=494.97"
2025-07-10 14:08:25.701,INFO,c.e.service.PaymentService,"loc=http-nio-8080-exec-32 - Payment gateway connection established: gateway=PaySecure-V2, timeout=30000ms"
2025-07-10 14:08:25.834,WARN,c.e.service.PaymentService,"loc=http-nio-8080-exec-32 - Payment gateway response time high: responseTime=1356ms, threshold=1000ms"
2025-07-10 14:08:26.067,INFO,c.e.service.PaymentService,"loc=http-nio-8080-exec-32 - Payment authorization requested: amount=494.97, currency=USD, cardType=AMEX"
2025-07-10 14:08:26.445,INFO,c.e.service.PaymentService,"loc=http-nio-8080-exec-32 - Payment processed successfully: orderId=ORD-2025-001260, transactionId=TXN-990013"
2025-07-10 14:08:26.578,INFO,c.e.service.OrderService,"loc=http-nio-8080-exec-32 - Order created successfully: orderId=ORD-2025-001260, status=CONFIRMED"
2025-07-10 14:08:26.723,ERROR,c.e.service.NotificationService,"loc=http-nio-8080-exec-32 - Failed to send order confirmation email: orderId=ORD-2025-001260, error=SMTP connection timeout"
2025-07-10 14:08:27.034,INFO,c.e.service.AuthService,"loc=http-nio-8080-exec-33 - User authentication successful: userId=USER-7845, sessionId=SESS-7D0E3F"
2025-07-10 14:08:27.167,INFO,c.e.service.CartService,"loc=http-nio-8080-exec-33 - Cart validation completed: userId=USER-7845, totalItems=2, cartValue=159.98"
2025-07-10 14:08:27.289,INFO,c.e.service.InventoryService,"loc=http-nio-8080-exec-33 - Inventory check passed: productId=PROD-5567, availableQty=23, requestedQty=2"
2025-07-10 14:08:27.423,INFO,c.e.service.PricingService,"loc=http-nio-8080-exec-33 - Price calculation completed: basePrice=159.98, discount=15.99, finalPrice=143.99"
2025-07-10 14:08:27.556,INFO,c.e.service.PaymentService,"loc=http-nio-8080-exec-33 - Payment gateway connection established: gateway=PaySecure-V2, timeout=30000ms"
2025-07-10 14:08:27.689,INFO,c.e.service.PaymentService,"loc=http-nio-8080-exec-33 - Payment authorization requested: amount=143.99, currency=USD, cardType=VISA"
2025-07-10 14:08:27.945,INFO,c.e.service.PaymentService,"loc=http-nio-8080-exec-33 - Payment processed successfully: orderId=ORD-2025-001261, transactionId=TXN-990014"
2025-07-10 14:08:28.078,INFO,c.e.service.OrderService,"loc=http-nio-8080-exec-33 - Order created successfully: orderId=ORD-2025-001261, status=CONFIRMED"
2025-07-10 14:08:28.201,INFO,c.e.service.NotificationService,"loc=http-nio-8080-exec-33 - Order confirmation email sent successfully: orderId=ORD-2025-001261, recipient=customer@domain.com"
2025-07-10 14:08:28.334,INFO,c.e.service.AuditService,"loc=http-nio-8080-exec-33 - Transaction audit completed: orderId=ORD-2025-001261, status=SUCCESS"
2025-07-10 14:08:28.567,INFO,c.e.service.AuthService,"loc=http-nio-8080-exec-34 - User authentication successful: userId=USER-9123, sessionId=SESS-8E1F4G"
2025-07-10 14:08:28.689,INFO,c.e.service.CartService,"loc=http-nio-8080-exec-34 - Cart validation completed: userId=USER-9123, totalItems=1, cartValue=299.99"
2025-07-10 14:08:28.823,INFO,c.e.service.InventoryService,"loc=http-nio-8080-exec-34 - Inventory check passed: productId=PROD-1145, availableQty=3, requestedQty=1"
2025-07-10 14:08:28.956,INFO,c.e.service.PricingService,"loc=http-nio-8080-exec-34 - Price calculation completed: basePrice=299.99, discount=0.00, finalPrice=299.99"
2025-07-10 14:08:29.089,INFO,c.e.service.PaymentService,"loc=http-nio-8080-exec-34 - Payment gateway connection established: gateway=PaySecure-V2, timeout=30000ms"
2025-07-10 14:08:29.223,WARN,c.e.service.PaymentService,"loc=http-nio-8080-exec-34 - Database connection pool exhausted: activeConnections=50, maxConnections=50"
2025-07-10 14:08:29.456,INFO,c.e.service.PaymentService,"loc=http-nio-8080-exec-34 - Payment authorization requested: amount=299.99, currency=USD, cardType=VISA"
